time,groupName,eventName,duration,eventURL,rsvpLimit,yesRSVPCount,city
2017-05-10T19:00:00-07:00,Elm user group SF,Elm Hack Night,3h0m0s,https://www.meetup.com/Elm-user-group-SF/events/239028055/,0,11,SF
2017-05-10T19:00:00-07:00,Ace Monster Toys,Metalworking 101,27h0m0s,https://www.meetup.com/Ace-Monster-Toys/events/238296683/,6,4,SF
2017-05-10T19:30:00-07:00,Noisebridge Hackerspace,Workshop on Behavioral Economics & Polite Robot Behavior,1h30m0s,https://www.meetup.com/noisebridge/events/239369857/,0,17,SF
2017-05-11T17:30:00-07:00,Hire Ruby on Rails Developers,May Hire Ruby on Rails Developers,3h30m0s,https://www.meetup.com/Hire-San-Francisco-Ruby-on-Rails-Developers/events/239331269/,0,42,SF
2017-05-11T17:30:00-07:00,SF DevOps,May Dev Jobs,0s,https://www.meetup.com/sf-DevOps/events/239383052/,30,6,SF
2017-05-11T17:30:00-07:00,Hire Ruby Engineers,May Hire Ruby Engineers,3h30m0s,https://www.meetup.com/Rails-Jobs/events/239331256/,0,10,SF
2017-05-11T17:30:00-07:00,Hire Front End Developers,May Hire front end developers,3h30m0s,https://www.meetup.com/Hire-Front-End-Developers/events/239331131/,0,25,SF
2017-05-11T17:30:00-07:00,Hire Node Developers,May Hire Node Developers,3h30m0s,https://www.meetup.com/Hire-node-JS-developers/events/239331232/,0,6,SF
2017-05-11T18:00:00-07:00,Meteor SF Bay Area,Meteor Night May: Meteor 1.5 Preview,0s,https://www.meetup.com/Meteor-SFBay/events/239302658/,0,77,SF
2017-05-11T18:00:00-07:00,productmind,Cracking Product Management,0s,https://www.meetup.com/productmind/events/238851151/,20,20,SF
2017-05-11T18:00:00-07:00,Geospatial Big Data & Analytics Bay Area,Scalable Analytics with Satellite Imagery: Machine Learning vs. Image Analysis,3h0m0s,https://www.meetup.com/geospatial-big-data-analytics-bay-area/events/239302394/,0,54,SF
2017-05-11T18:30:00-07:00,SF CockroachDB User Group,SF CockroachDB User Group - 1.0 Release: What's in store?,0s,https://www.meetup.com/SF-CockroachDB-User-Group/events/239306231/,0,25,SF
2017-05-11T18:30:00-07:00,ItaliaGeeks,#25 - Elisa Zunnui - Discovering the Neandertals through a GIS analysis,2h0m0s,https://www.meetup.com/ItaliaGeeks/events/237297915/,0,12,SF
2017-05-11T19:00:00-07:00,Noisebridge Hackerspace,Laser Safety Training,1h30m0s,https://www.meetup.com/noisebridge/events/238844219/,6,6,SF
2017-05-11T19:00:00-07:00,Non-Gaming Virtual Reality - San Francisco,Non-Gaming VR Meetup #9: Social VR!,3h0m0s,https://www.meetup.com/Non-Gaming-VR/events/238943858/,0,40,SF
2017-05-12T13:00:00-07:00,Advanced Spark and TensorFlow Meetup,High-Performance Tensorflow in Production: Optimize and Deploy Tensorflow Models,3h0m0s,https://www.meetup.com/Advanced-Spark-and-TensorFlow-Meetup/events/238960747/,0,45,SF
2017-05-12T17:00:00-07:00,SFHTML5,"Beyond Static Sites with Jessica Parsons, Brian Douglas, and Matt Biilmann",4h0m0s,https://www.meetup.com/sfhtml5/events/238958220/,0,96,SF
2017-05-13T10:00:00-07:00,Ace Monster Toys,Bandsaw / Drill Press 101,2h0m0s,https://www.meetup.com/Ace-Monster-Toys/events/239445086/,6,3,SF
2017-05-15T18:00:00-07:00,GoSF,Gopherfest 2017,3h0m0s,https://www.meetup.com/golangsf/events/238748981/,300,300,SF
2017-05-15T19:00:00-07:00,Noisebridge Hackerspace,Circuit Hacking Mondays - Learn to make cool things with electronics,2h0m0s,https://www.meetup.com/noisebridge/events/238889862/,0,3,SF
2017-05-15T19:00:00-07:00,Noisebridge Hackerspace,Noisebridge Python Class,1h30m0s,https://www.meetup.com/noisebridge/events/238947424/,0,3,SF
2017-05-15T19:00:00-07:00,Ace Monster Toys,Table saw / Panel Saw 101,2h30m0s,https://www.meetup.com/Ace-Monster-Toys/events/239445061/,0,3,SF
2017-05-16T18:00:00-07:00,Bot Builder MeetUp,Bot Builders' MeetUp: May,0s,https://www.meetup.com/botbuilder/events/238867232/,0,18,SF
2017-05-16T18:00:00-07:00,San Francisco Big Data Science,Going Deeper in Finance,2h30m0s,https://www.meetup.com/San-Francisco-Big-Data-Science/events/239392673/,0,37,SF
